Turma,Cidade,Supervisor,Ativos,Desligados,Vagas,Vagas Disponíveis,% Evasão,Prob. Desligamento (%),média de presença,Desvio Padrão de Presenças,Média de Faltas
CEMUS1 - Turma A,Salto-SP,Lívia Kormann,14,2,20,6,30.0,11.6,1.0,0.0,1.12
CEMUS1 - Turma B,Salto-SP,Lívia Kormann,11,0,20,9,45.0,3.1,1.0,0.0,1.54
CEMUS5 - Turma A,Salto-SP,Lívia Kormann,15,1,20,5,25.0,7.1,1.0,0.0,0.56
CEMUS5 - Turma B,Salto-SP,Lívia Kormann,17,1,20,3,15.0,13.5,0.94,0.0,2.22
E. M. Francisco Adolfo de Varnhagen,Iperó-SP,Jamilli Veloso de Souza,10,0,20,10,50.0,1.5,1.24,0.6,2.5
E. M. Pedrina de Campos Pedrozo Rosa,Iperó-SP,Emilly Vitoria Alves Ribeiro,15,3,20,5,25.0,8.3,0.83,0.0,2.78
E. M. Roque Ayres de Oliveiras,Iperó-SP,Jamilli Veloso de Souza,15,0,20,5,25.0,0.1,1.08,0.28,1.07
E. M. Zilma Thibes Melo,Iperó-SP,Emilly Vitoria Alves Ribeiro,22,0,20,0,0.0,1.7,1.25,0.69,2.14
E.M. Dra. Glaucia Aparecida Andrade Nogueira,Iperó-SP,Jamilli Veloso de Souza,19,1,20,1,5.0,6.0,1.25,0.52,3.1
E.M. Elisa Moreira dos Santos,Iperó-SP,Emilly Vitoria Alves Ribeiro,18,1,20,2,10.0,4.4,1.08,0.3,1.26
E.M. Francisco Munhoz,Capela do Alto-SP,Paulo Miranda,14,6,20,6,30.0,28.9,1.34,0.35,2.6
E.M. Franciso Mariano,Capela do Alto-SP,Julia Fernanda de Camargo Teles Miranda,16,5,20,4,20.0,17.9,1.13,0.62,1.67
E.M. Henory de Campos Goes - Manhã,Iperó-SP,Emilly Vitoria Alves Ribeiro,6,1,10,4,40.0,11.6,1.06,0.18,0.43
E.M. Joaquim Salvador,Capela do Alto-SP,Paulo Miranda,14,7,20,6,30.0,29.0,1.02,0.18,2.48
E.M. Marcilio Leite- Turma A,Capela do Alto-SP,Julia Fernanda de Camargo Teles Miranda,13,1,10,0,0.0,9.7,1.15,0.41,1.71
E.M. Marcilio Leite- Turma B,Capela do Alto-SP,Paulo Miranda,10,5,10,0,0.0,31.1,1.09,0.31,2.4
E.M. Ricardo Pucetti,Capela do Alto-SP,Julia Fernanda de Camargo Teles Miranda,20,0,20,0,0.0,0.3,1.48,0.97,0.55
EE Coronel Castanho de Almeida,Guareí-SP,Jose (Vinicius Lima Cardozo),13,3,20,7,35.0,6.2,1.88,0.88,2.25
EM Carmen Lucia Blanco Britto,São Roque-SP,Gabriella Lhóren,22,0,20,0,0.0,1.5,0.82,0.0,1.41
EM Henory de Campos Goes - Tarde,Iperó-SP,Emilly Vitoria Alves Ribeiro,15,0,10,0,0.0,0.3,1.55,0.91,0.73
EMEF Barão de Piratininga - Turma A,São Roque-SP,Mirela Silva Gondim Garcia,18,2,20,2,10.0,6.6,1.25,0.46,3.4
EMEF Barão de Piratininga - Turma B,São Roque-SP,Mirela Silva Gondim Garcia,20,3,20,0,0.0,13.9,1.48,0.7,3.09
EMEF Dr. Rabindranath Tagore dos S. Pires,São Roque-SP,Gabriella Lhóren,24,2,20,0,0.0,7.6,0.5,0.0,2.0
EMEF Leonidas Antonio de Moreas Professor,São Roque-SP,Mirela Silva Gondim Garcia,17,4,20,3,15.0,17.2,1.55,0.76,3.14
EMEF Prof. Darcy Amáncio,Mirassol-SP,Synara Sajonetti Maistrello,21,2,20,0,0.0,8.0,1.1,0.35,1.96
EMEF Prof. Euclides de Oliveira,São Roque-SP,Gabriella Lhóren,25,0,20,0,0.0,5.6,0.96,0.0,2.96
EMEF Prof. Joao Alcindo Vieira,Guareí-SP,Jose (Vinicius Lima Cardozo),21,3,20,0,0.0,10.3,1.52,0.72,2.54
EMEF Prof. Joaquim Silveira Santos,São Roque-SP,Vittoria Christina Santos Rocha,17,2,20,3,15.0,7.6,1.0,0.0,4.74
EMEF Prof. Tiberio Justo da Silva,São Roque-SP,Gabriella Lhóren,24,1,20,0,0.0,9.0,0.92,0.0,2.92
EMEF Prof. Wilson Paschoal,Mirassol-SP,Synara Sajonetti Maistrello,18,0,20,2,10.0,0.0,1.0,0.0,0.89
EMEF Profa. Maria de Lourdes Pedroso Perin,Corumbataí-SP,Pedro Henrique Prado Alves,28,1,20,0,0.0,8.9,0.86,0.0,1.38
EMEF Professor Antonio Cavaglieri,São Roque-SP,Vittoria Christina Santos Rocha,19,1,20,1,5.0,6.3,1.04,0.1,1.6
EMEF Sonia Maria Abreu Ghilardi,São Roque-SP,Mirela Silva Gondim Garcia,12,2,20,8,40.0,13.3,2.28,0.84,2.36
EMEF Tetsu Chinone,São Roque-SP,Vittoria Christina Santos Rocha,22,0,20,0,0.0,3.5,0.98,0.08,1.86
EMEFEI Lucy Cordeiro de Campos - TURMA A,Bofete-SP,Andressa Da Costa,20,0,20,0,0.0,2.1,0.0,0.0,0.65
Escola Estadual Prof Antônio Tonon - 7º e 8° ano,Coronel Macedo-SP,Gustavo Eduardo Cardoso,26,0,20,0,0.0,1.3,1.53,0.79,6.46
Escola Municipal Mitsuo Matisura - 5º e 6° ano,Coronel Macedo-SP,Gustavo Eduardo Cardoso,21,0,20,0,0.0,1.3,1.59,1.06,4.52
